"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.149382816035534,0.011713683445382,12.7528472774656,2.81211823996207e-26
"2","Median_income",-6.84905752305428e-07,1.71432480815767e-07,-3.99519244571555,9.76646190930252e-05
