"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.163136872001229,0.011709689556082,13.9317845464567,1.65967417569323e-29
"2","Median_income",-7.79653887811637e-08,2.22594424929148e-07,-0.350257598796466,0.726600368469695
"3","Percent_White",-0.000939717626826299,0.000233134776215471,-4.03079129626624,8.53517761941911e-05
